bib	div	loc	country	prof	swim.dist	swim.split	swim.race	swim.pace	swim.drank	swim.grank	swim.orank	bike.dist	bike.split	bike.race	bike.pace	bike.drank	bike.grank	bike.orank	run.dist	run.split	run.race	run.pace	run.drank	run.grank	run.orank	t1	t2
111	F70-74	Mountain Lakes NJ	USA	Retired	3.8 km	1:28:46	1:28:46	2:20/100m	1	374	1593	180 km	6:46:57	8:24:39	26.54 km/h	1	244	1477	42.195 km	6:19:57	14:52:13	9:00/km	1	431	1873	8:56	7:37
																											
113	M25-29	Richmond VA	USA	Teacher	3.8 km	57:16	57:16	1:30/100m	4	16	17	180 km	5:05:39	6:06:58	35.33 km/h	2	24	27	42.195 km	3:24:52	9:33:54	4:51/km	4	21	23	4:03	2:04
114	M30-34	Sherbrooke QC	CAN	Engineer	3.8 km	1:00:51	1:00:51	1:36/100m	6	49	56	180 km	5:08:59	6:14:00	34.95 km/h	9	37	40	42.195 km	3:53:49	10:10:29	5:32/km	17	80	87	4:10	2:40
115	M30-34	St Theodore D'acton QC	CAN	Fitness Consultant	3.8 km	1:03:23	1:03:23	1:40/100m	11	84	109	180 km	4:51:04	5:58:26	37.10 km/h	1	15	15	42.195 km	3:11:13	9:11:11	4:31/km	1	10	10	3:59	1:32
116	M30-34	Ottawa ON	CAN	Other	3.8 km	1:07:24	1:07:24	1:46/100m	25	183	234	180 km	4:52:42	6:05:10	36.90 km/h	3	21	23	42.195 km	3:41:31	9:48:28	5:14/km	7	37	39	5:04	1:47
117	M30-34	Mexico City	MEX	Engineer	3.8 km	1:18:20	1:18:20	2:03/100m	101	701	867	180 km	5:51:02	7:18:21	30.77 km/h	70	515	582	42.195 km	3:57:38	11:21:38	5:37/km	56	327	372	8:59	5:39
118	M30-34	St-Laurent QC	CAN	Engineer	3.8 km	1:03:51	1:03:51	1:40/100m	16	97	126	180 km	4:57:36	6:05:45	36.29 km/h	4	22	25	42.195 km	3:47:00	9:55:13	5:22/km	12	52	55	4:18	2:28
119	M30-34	Boston MA	USA	Consultant	3.8 km	1:14:57	1:14:57	1:58/100m	68	491	612	180 km	5:26:59	6:47:13	33.03 km/h	33	191	210	42.195 km	4:24:17	11:14:06	6:15/km	48	290	323	5:17	2:36
120	M30-34	San Francisco CA	USA	Other	3.8 km	57:02	57:02	1:30/100m	1	13	14	180 km	5:16:17	6:17:57	34.15 km/h	12	48	51	42.195 km	3:23:53	9:44:16	4:49/km	5	29	31	4:38	2:26
121	M30-34	Chicago IL	USA	Consultant	3.8 km	57:48	57:48	1:31/100m	2	17	18	180 km	5:09:06	6:12:00	34.94 km/h	8	31	34	42.195 km	3:21:27	9:35:41	4:46/km	4	23	25	5:06	2:14
122	M35-39	New York NY	USA	Financial Analyst	3.8 km	1:06:59	1:06:59	1:45/100m	30	173	224	180 km	5:06:14	6:18:21	35.27 km/h	7	50	54	42.195 km	3:29:54	9:51:33	4:58/km	6	39	42	5:08	3:18
123	M35-39	Sainte Marie	MTQ	Teacher	3.8 km	1:05:08	1:05:08	1:42/100m	22	134	169	180 km	4:57:14	6:08:58	36.34 km/h	1	26	29	42.195 km	3:35:07	9:46:55	5:05/km	4	34	36	6:36	2:50
124	M35-39	Vancouver BC	CAN	Engineer	3.8 km	1:32:49	1:32:49	2:26/100m	201	1366	1793	180 km	5:22:38	7:01:18	33.47 km/h	57	324	356	42.195 km	3:25:14	10:28:51	4:51/km	23	122	136	5:51	2:19
125	M35-39	Montreal QC	CAN	Engineer	3.8 km	1:07:08	1:07:08	1:46/100m	31	174	225	180 km	5:15:43	6:28:34	34.21 km/h	13	87	95	42.195 km	3:31:30	10:02:25	5:00/km	12	66	70	5:43	2:21
126	M35-39	Los Angeles CA	USA	Other	3.8 km	57:07	57:07	1:30/100m	4	14	15	180 km	5:52:52	6:54:57	30.61 km/h	47	268	297	42.195 km	4:24:24	11:23:39	6:15/km	64	335	382	4:58	4:18
127	M35-39	Beamsville ON	CAN	Management	3.8 km	1:04:06	1:04:06	1:41/100m	13	110	142	180 km	5:15:35	6:26:20	34.22 km/h	12	75	83	42.195 km	3:28:17	9:57:37	4:56/km	10	56	59	6:39	3:00
128	M35-39	Washington DC	USA	Consultant	3.8 km	1:09:43	1:09:43	1:50/100m	45	264	332	180 km	5:14:31	6:30:25	34.34 km/h	15	94	102	42.195 km	3:46:38	10:22:04	5:22/km	19	105	114	6:11	5:01
129	M40-44	Saint Adolphe D'howard QC	CAN	Administrator	3.8 km	1:20:58	1:20:58	2:07/100m	193	858	1085	180 km	5:45:25	7:12:02	31.27 km/h	105	435	482	42.195 km	--:--	--:--	--/km	--	--	--	5:39	3:08
																											
131	M40-44	Sunland CA	USA	Other	3.8 km	1:07:51	1:07:51	1:47/100m	29	199	254	180 km	5:29:23	6:42:42	32.79 km/h	31	159	171	42.195 km	3:42:56	10:28:37	5:17/km	22	120	134	5:28	2:59
																											
																											
134	M40-44	Glover VT	USA	Other	3.8 km	1:20:09	1:20:09	2:06/100m	180	815	1026	180 km	5:15:19	6:40:03	34.25 km/h	26	146	157	42.195 km	3:52:42	10:35:27	5:30/km	30	147	163	4:35	2:42
135	M40-44	Trans En Provence	FRA	Other	3.8 km	1:11:39	1:11:39	1:53/100m	66	354	439	180 km	5:38:45	6:58:29	31.88 km/h	69	291	320	42.195 km	4:22:15	11:25:51	6:12/km	79	346	395	8:05	5:07
136	M40-44	Ottawa ON	CAN	Engineer	3.8 km	1:09:44	1:09:44	1:50/100m	45	265	333	180 km	5:19:44	6:35:55	33.78 km/h	20	119	127	42.195 km	3:52:51	10:31:45	5:31/km	28	129	144	6:27	2:59
137	M40-44	Toronto ON	GBR	Other	3.8 km	1:18:29	1:18:29	2:03/100m	154	710	881	180 km	5:23:17	6:47:36	33.41 km/h	44	196	215	42.195 km	3:39:19	10:30:23	5:11/km	27	127	141	5:50	3:28
138	M45-49	Bathurst NB	CAN	Business Owner	3.8 km	1:05:40	1:05:40	1:43/100m	24	143	180	180 km	5:18:42	6:29:25	33.89 km/h	11	89	97	42.195 km	4:08:15	10:40:13	5:53/km	21	161	177	5:03	2:33
139	M45-49	Shawinigan QC	CAN	Teacher	3.8 km	1:02:14	1:02:14	1:38/100m	15	68	84	180 km	4:52:28	5:59:08	36.93 km/h	2	16	16	42.195 km	3:46:02	9:47:30	5:21/km	3	35	37	4:26	2:20
140	M45-49	Metairie LA	USA	Computer Analyst	3.8 km	1:11:35	1:11:35	1:53/100m	60	351	436	180 km	5:38:45	6:59:05	31.88 km/h	40	295	324	42.195 km	4:11:21	11:16:47	5:57/km	41	302	342	8:45	6:21
141	M45-49	Matawan NJ	USA	Attorney	3.8 km	1:08:28	1:08:28	1:48/100m	38	216	273	180 km	6:18:51	7:35:30	28.51 km/h	115	735	828	42.195 km	5:00:35	12:43:12	7:07/km	142	849	989	8:11	7:07
142	M45-49	Solana Beach CA	USA	Business Executive	3.8 km	1:08:33	1:08:33	1:48/100m	39	223	281	180 km	6:52:34	8:07:11	26.18 km/h	190	1091	1271	42.195 km	4:59:55	13:11:38	7:06/km	175	1017	1213	6:04	4:32
																											
144	M45-49	Saint-Hillaire	FRA	Military Service - Foreig	3.8 km	1:07:13	1:07:13	1:46/100m	31	178	229	180 km	5:13:14	6:25:47	34.48 km/h	9	71	79	42.195 km	4:04:04	10:32:47	5:47/km	15	138	153	5:20	2:56
145	M45-49	Hanover NH	USA	Business Owner	3.8 km	1:16:18	1:16:18	2:00/100m	105	581	715	180 km	5:17:05	6:39:53	34.06 km/h	21	144	155	42.195 km	3:52:30	10:35:44	5:30/km	17	148	164	6:30	3:21
146	M45-49	Irvine CA	USA	Attorney	3.8 km	1:06:59	1:06:59	1:45/100m	30	172	223	180 km	5:19:00	6:32:43	33.86 km/h	13	105	113	42.195 km	3:30:51	10:06:58	4:59/km	8	74	80	6:44	3:24
																											
																											
149	M50-54	Lac Beauport QC	CAN	Engineer	3.8 km	1:04:01	1:04:01	1:41/100m	8	103	134	180 km	5:24:47	6:33:53	33.25 km/h	4	110	118	42.195 km	3:33:09	10:10:02	5:03/km	3	78	85	5:05	3:00
																											
151	M55-59	Amherst NH	USA	Engineer	3.8 km	1:25:15	1:25:15	2:14/100m	55	1081	1365	180 km	5:53:51	7:27:27	30.52 km/h	25	636	716	42.195 km	3:51:51	11:25:24	5:29/km	9	343	392	8:21	6:06
152	M65-69	New Durham NH	USA	Sales Manager	3.8 km	1:28:19	1:28:19	2:19/100m	9	1206	1567	180 km	5:39:12	7:15:00	31.84 km/h	1	477	530	42.195 km	4:28:42	11:48:40	6:22/km	1	495	569	7:29	4:58
153	M65-69	Strafford NH	USA	Retired	3.8 km	1:11:45	1:11:45	1:53/100m	2	361	447	180 km	6:10:12	7:28:31	29.17 km/h	3	646	728	42.195 km	4:19:33	11:51:38	6:09/km	2	515	592	6:34	3:34
154	F18-24	Ottawa ON	CAN	Student	3.8 km	1:26:13	1:26:13	2:16/100m	9	307	1422	180 km	6:12:15	7:44:57	29.01 km/h	4	114	939	42.195 km	5:04:26	12:53:08	7:12/km	3	155	1065	6:29	3:45
155	F25-29	Val David QC	CAN	Physician	3.8 km	1:12:40	1:12:40	1:54/100m	12	97	508	180 km	5:35:51	6:54:14	32.16 km/h	3	28	286	42.195 km	3:34:12	10:30:52	5:04/km	3	15	142	5:43	2:26
156	F25-29	Boston MA	USA	Consultant	3.8 km	1:19:52	1:19:52	2:06/100m	24	202	1002	180 km	7:01:07	8:28:34	25.65 km/h	24	261	1526	42.195 km	4:13:58	12:49:22	6:01/km	16	149	1035	7:35	6:50
157	F25-29	Pasadena CA	USA	Engineer	3.8 km	1:06:23	1:06:23	1:44/100m	5	49	209	180 km	6:50:54	8:05:01	26.28 km/h	16	167	1238	42.195 km	4:09:21	12:19:04	5:54/km	11	104	807	7:44	4:42
																											
159	F30-34	Kerrville TX	USA	Other	3.8 km	1:20:02	1:20:02	2:06/100m	44	209	1018	180 km	6:05:35	7:32:33	29.54 km/h	24	87	788	42.195 km	4:40:22	12:16:29	6:38/km	28	100	786	6:56	3:34
																											
161	F30-34	Laval QC	CAN	Teacher	3.8 km	1:10:46	1:10:46	1:51/100m	20	75	383	180 km	5:39:16	6:54:36	31.83 km/h	6	29	292	42.195 km	3:45:29	10:43:31	5:20/km	3	17	190	4:34	3:26
